Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status,Days_To_FNOL,Days_To_Settlement,Estimated_Claim_Amount_winsor,Estimated_Claim_Amount_log1p,Ultimate_Claim_Amount_winsor,Ultimate_Claim_Amount_log1p,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band,tp_count,has_third_party,TP_Injury_Severity_code_mean,TP_Injury_Severity_code_max
CLM30000,POL14506,2019-12-19,2019-12-19,Theft,Medium,False,True,5243,2808.0,Minor,2020-03-01,settled,0,73.0,5243.0,8.56483984488359,2808.0,7.940583827104244,CUST24506,53,Female,Retired,Glasgow,4891,34,Hatchback,6,Excellent,1,1,1.0,1.0
CLM30001,POL14338,2018-12-30,2018-12-31,Collision,Low,False,False,3934,2952.0,Minor,2019-03-23,settled,1,82.0,3934.0,8.277666160851503,2952.0,7.990576881743923,CUST24338,43,Female,Employed,Newcastle,18408,23,Van,9,Fair,0,0,,
CLM30002,POL13575,2021-10-19,2021-10-19,Other,Medium,False,False,153631,156497.0,Catastrophic,2022-04-22,settled,0,185.0,153631.0,11.942315411330666,156497.0,11.96079850932797,CUST23575,19,Female,Unemployed,Newcastle,10793,0,SUV,5,Excellent,1,1,1.0,1.0
CLM30003,POL10138,2021-06-18,2021-06-18,Weather,Low,False,False,2812,1450.0,Minor,2021-09-13,settled,0,87.0,2812.0,7.9420068084898565,1450.0,7.280008252884188,CUST20138,26,Male,Employed,Newcastle,9405,5,Hatchback,13,Good,0,0,,
CLM30004,POL12316,2021-03-21,2021-03-24,Theft,Low,False,False,5094,4243.0,Minor,2021-05-26,settled,3,63.0,5094.0,8.536014945656826,4243.0,8.353261499733874,CUST22316,27,Female,Unemployed,Leeds,16729,9,Hatchback,12,Excellent,0,0,,
CLM30005,POL14720,2020-04-12,2020-04-13,Weather,Low,False,False,2568,1796.0,Minor,2020-06-15,settled,1,63.0,2568.0,7.851271997109883,1796.0,7.493873886783559,CUST24720,51,Female,Employed,Newcastle,12094,32,Hatchback,12,Excellent,0,0,,
CLM30006,POL14632,2019-11-12,2019-11-15,Weather,Medium,False,False,18782,18386.0,Major,2020-05-19,settled,3,186.0,18782.0,9.84070748441342,18386.0,9.819399172153842,CUST24632,36,Female,Employed,Liverpool,11632,14,Hatchback,7,Excellent,0,0,,
CLM30007,POL12314,2024-10-30,2024-11-02,Fire,Low,False,False,15957,13825.0,Minor,2024-12-22,settled,3,50.0,15957.0,9.677715549868227,13825.0,9.53430615650521,CUST22314,64,Female,Self-Employed,Bristol,14576,45,Sedan,3,Excellent,1,1,1.0,1.0
CLM30008,POL13933,2019-09-10,2019-09-14,Vandalism,Medium,False,False,1357,1013.0,Minor,2020-02-19,settled,4,158.0,1357.0,7.213768308118642,1013.0,6.921658184151129,CUST23933,54,Male,Employed,Bristol,7822,36,Coupe,1,Fair,0,0,,
CLM30009,POL11507,2025-05-03,2025-05-04,Collision,Low,False,False,2799,1781.0,Minor,2025-06-22,settled,1,49.0,2799.0,7.937374696163295,1781.0,7.485491608030754,CUST21507,29,Male,Employed,Cardiff,16896,7,Van,5,Fair,0,0,,
CLM30010,POL14196,2023-06-13,2023-06-14,Collision,Low,False,False,1890,978.0,Minor,2023-08-07,settled,1,54.0,1890.0,7.544861068658458,978.0,6.88653164253051,CUST24196,42,Male,Employed,Cardiff,15004,24,Hatchback,15,Excellent,0,0,,
CLM30011,POL14722,2019-01-27,2019-01-28,Collision,Low,False,False,27742,27274.0,Severe,2019-04-18,settled,1,80.0,27742.0,10.230738835101377,27274.0,10.213725810701272,CUST24722,46,Female,Employed,Birmingham,13894,26,Hatchback,7,Excellent,0,0,,
CLM30012,POL12085,2019-01-19,2019-01-19,Collision,Low,False,False,1442,1075.0,Minor,2019-03-02,settled,0,42.0,1442.0,7.274479558773871,1075.0,6.98100574072173,CUST22085,27,Female,Unemployed,Birmingham,11886,9,Hatchback,13,Good,1,1,1.0,1.0
CLM30013,POL11147,2019-10-07,2019-10-07,Weather,Low,True,False,6298,4414.0,Moderate,2019-12-15,settled,0,69.0,6298.0,8.74814616962193,4414.0,8.392763113038061,CUST21147,35,Male,Employed,Birmingham,17196,14,Sedan,11,Excellent,0,0,,
CLM30014,POL14639,2021-03-02,2021-03-02,Theft,Low,False,False,3911,3464.0,Minor,2021-05-29,settled,0,88.0,3911.0,8.271804031154709,3464.0,8.150467911624004,CUST24639,74,Male,Retired,Leeds,15590,55,Motorcycle,20,Fair,0,0,,
CLM30015,POL12259,2021-04-28,2021-04-28,Collision,Medium,False,False,2232,1244.0,Minor,2021-08-08,settled,0,102.0,2232.0,7.711101251840158,1244.0,7.126890808898808,CUST22259,34,Female,Employed,Edinburgh,12801,12,Sedan,2,Fair,1,1,1.0,1.0
CLM30016,POL10930,2024-05-19,2024-05-20,Collision,Low,False,True,1703,1276.0,Minor,2024-06-20,settled,1,31.0,1703.0,7.440733707389261,1276.0,7.152268856032539,CUST20930,67,Female,Retired,Leeds,14685,45,Coupe,19,Excellent,2,1,1.0,1.0
CLM30017,POL12157,2025-06-19,2025-06-24,Theft,High,False,False,3686,2232.0,Minor,2026-06-02,settled,5,343.0,3686.0,8.212568398234145,2232.0,7.711101251840158,CUST22157,72,Male,Retired,Leeds,14014,51,Sedan,6,Excellent,0,0,,
CLM30018,POL11969,2019-01-05,2019-01-08,Other,Low,False,False,7159,4833.0,Moderate,2019-02-16,settled,3,39.0,7159.0,8.87626525995469,4833.0,8.483429561263428,CUST21969,48,Male,Self-Employed,Edinburgh,19806,28,Sedan,0,Good,1,1,1.0,1.0
CLM30019,POL12185,2025-01-03,2025-01-03,Fire,High,False,False,254781,240233.0,Severe,2025-11-18,settled,0,319.0,172096.3800000004,12.055815758376605,174837.80000000037,12.071619685535717,CUST22185,40,Male,Employed,Glasgow,9510,22,Hatchback,15,Excellent,0,0,,
CLM30020,POL11809,2020-12-11,2020-12-14,Weather,Low,False,False,2374,2069.0,Minor,2021-02-24,settled,3,72.0,2374.0,7.772752716468742,2069.0,7.635303886259415,CUST21809,42,Female,Self-Employed,Manchester,9647,22,SUV,12,Good,0,0,,
CLM30021,POL14555,2024-10-29,2024-10-31,Weather,Medium,True,False,14278,14113.0,Major,2025-01-21,settled,2,82.0,14278.0,9.566545205430295,14113.0,9.554922491560776,CUST24555,31,Female,Employed,Birmingham,17862,10,Sedan,14,Poor,0,0,,
CLM30022,POL14382,2023-06-03,2023-06-03,Fire,Low,False,False,13889,10034.0,Minor,2023-07-13,settled,0,40.0,13889.0,9.53892443574839,10034.0,9.213834261230438,CUST24382,58,Female,Employed,London,12169,39,Sedan,20,Excellent,0,0,,
CLM30023,POL14822,2021-03-09,2021-03-09,Collision,Low,False,False,4254,3052.0,Moderate,2021-05-13,settled,0,65.0,4254.0,8.355850041007475,3052.0,8.023879992734878,CUST24822,56,Female,Unemployed,Newcastle,9184,38,Van,5,Excellent,0,0,,
CLM30024,POL12207,2023-10-02,2023-10-04,Other,Low,False,False,3023,1872.0,Minor,2023-11-30,settled,2,57.0,3023.0,8.014335737299424,1872.0,7.5352967024440884,CUST22207,30,Male,Employed,Manchester,19240,11,SUV,12,Good,1,1,1.0,1.0
CLM30025,POL12068,2025-04-28,2025-04-30,Weather,Low,False,False,2909,2078.0,Minor,2025-06-02,settled,2,33.0,2909.0,7.975908360165538,2078.0,7.639642287858013,CUST22068,43,Female,Employed,Glasgow,12012,22,Sedan,19,Fair,1,1,1.0,1.0
CLM30026,POL14251,2021-11-01,2021-11-01,Weather,Low,False,False,97925,83494.0,Severe,2022-01-20,settled,0,80.0,97925.0,11.49196737037875,83494.0,11.332542028806532,CUST24251,60,Female,Retired,Bristol,11777,39,Coupe,9,Fair,0,0,,
CLM30027,POL13657,2018-10-15,2018-10-15,Collision,Medium,False,False,22003,20770.0,Severe,2019-04-01,settled,0,168.0,22003.0,9.99897953399535,20770.0,9.941313062076109,CUST23657,69,Male,Retired,Birmingham,6402,48,Sedan,18,Excellent,0,0,,
CLM30028,POL14585,2020-07-03,2020-07-10,Collision,Medium,False,False,119420,137304.0,Catastrophic,2021-04-15,settled,7,279.0,119420.0,11.690410343872657,137304.0,11.829960007698967,CUST24585,47,Female,Self-Employed,Edinburgh,8037,29,Sedan,18,Excellent,1,1,1.0,1.0
CLM30029,POL12010,2023-06-16,2023-06-17,Other,Medium,False,False,7278,4969.0,Moderate,2023-11-22,settled,1,158.0,7278.0,8.892748769118258,4969.0,8.511175119090675,CUST22010,69,Female,Retired,Bristol,8010,51,Hatchback,2,Good,1,1,1.0,1.0
CLM30030,POL14270,2022-07-13,2022-07-13,Collision,Low,False,False,1950,1209.0,Minor,2022-09-22,settled,0,71.0,1950.0,7.576097340623111,1209.0,7.098375638590786,CUST24270,21,Female,Student,London,18461,0,SUV,12,Excellent,0,0,,
CLM30031,POL13910,2021-10-31,2021-10-31,Collision,Low,False,False,1675,1331.0,Minor,2022-01-20,settled,0,81.0,1675.0,7.424165281042028,1331.0,7.194436851100335,CUST23910,59,Male,Unemployed,Edinburgh,10779,39,Sedan,18,Excellent,0,0,,
CLM30032,POL13213,2020-06-16,2020-06-17,Collision,Low,False,False,36114,35659.0,Severe,2020-09-25,settled,1,100.0,36114.0,10.494463570484948,35659.0,10.481784891417131,CUST23213,30,Male,Employed,Manchester,8518,10,Sedan,14,Good,0,0,,
CLM30033,POL14805,2021-02-16,2021-02-17,Weather,Low,False,False,3064,2310.0,Minor,2021-05-12,settled,1,84.0,3064.0,8.027802848370312,2310.0,7.745435610274381,CUST24805,74,Female,Retired,Birmingham,6368,56,Sedan,15,Fair,1,1,1.0,1.0
CLM30034,POL13557,2022-06-28,2022-06-29,Collision,High,False,False,37914,38582.0,Severe,2022-11-25,settled,1,149.0,37914.0,10.543102091135037,38582.0,10.560567043934196,CUST23557,34,Female,Student,Edinburgh,18206,12,Hatchback,17,Fair,0,0,,
CLM30035,POL14048,2019-11-11,2019-11-12,Collision,Low,False,True,1771,1259.0,Minor,2019-12-15,settled,1,33.0,1771.0,7.4798641311650265,1259.0,7.138866999945524,CUST24048,72,Female,Retired,Newcastle,9700,53,Sedan,3,Fair,0,0,,
CLM30036,POL11294,2019-10-03,2019-10-04,Collision,Low,False,False,1752,1512.0,Minor,2019-11-19,settled,1,46.0,1752.0,7.469083884921234,1512.0,7.321849713788356,CUST21294,74,Female,Retired,Manchester,11121,53,Hatchback,14,Fair,0,0,,
CLM30037,POL10236,2022-12-23,2022-12-23,Fire,Low,False,False,25318,17243.0,Moderate,2023-03-15,settled,0,82.0,25318.0,10.13931038100741,17243.0,9.755219535867026,CUST20236,53,Female,Employed,Cardiff,13823,34,Hatchback,3,Excellent,0,0,,
CLM30038,POL14772,2019-10-20,2019-10-20,Other,Low,False,False,2513,1700.0,Minor,2019-11-23,settled,0,34.0,2513.0,7.829630389150193,1700.0,7.438971592395862,CUST24772,52,Female,Employed,Liverpool,11188,30,Van,3,Fair,1,1,1.0,1.0
CLM30039,POL11287,2022-09-28,2022-09-28,Collision,Low,False,False,38556,32864.0,Severe,2022-12-27,settled,0,90.0,38556.0,10.559892944867965,32864.0,10.400163540697676,CUST21287,19,Female,Student,Cardiff,8658,0,Hatchback,0,Fair,0,0,,
CLM30040,POL13078,2022-07-28,2022-07-28,Collision,Medium,False,True,168118,170516.0,Catastrophic,2023-02-28,settled,0,215.0,168118.0,12.032427340969077,170516.0,12.04659027748019,CUST23078,51,Female,Retired,Cardiff,12619,32,Hatchback,8,Excellent,0,0,,
CLM30041,POL10605,2025-06-26,2025-07-03,Weather,Low,False,False,2576,1742.0,Minor,2025-08-03,settled,7,31.0,2576.0,7.854381210652365,1742.0,7.463363045520021,CUST20605,25,Male,Student,Bristol,11479,5,Coupe,12,Fair,0,0,,
CLM30042,POL14782,2021-09-06,2021-09-06,Collision,Medium,False,False,13473,11489.0,Major,2021-12-29,settled,0,114.0,13473.0,9.508517181520606,11489.0,9.3492323708428,CUST24782,33,Male,Employed,London,9162,11,SUV,1,Poor,1,1,1.0,1.0
CLM30043,POL11804,2019-03-15,2019-03-16,Vandalism,Low,False,False,1275,826.0,Minor,2019-04-26,settled,1,41.0,1275.0,7.151485463904735,826.0,6.717804695023691,CUST21804,72,Female,Retired,Liverpool,11567,50,SUV,5,Good,0,0,,
CLM30044,POL12776,2023-11-13,2023-11-14,Theft,Low,False,False,4899,4150.0,Minor,2023-12-23,settled,1,39.0,4899.0,8.496990484098719,4150.0,8.33110454805304,CUST22776,46,Male,Unemployed,Edinburgh,9530,27,Sedan,4,Good,1,1,1.0,1.0
CLM30045,POL12517,2024-09-23,2024-09-23,Weather,Low,False,True,4348,2241.0,Minor,2024-12-18,settled,0,86.0,4348.0,8.37770121259764,2241.0,7.715123603632105,CUST22517,73,Female,Retired,Bristol,14781,51,Hatchback,16,Excellent,0,0,,
CLM30046,POL10107,2020-02-12,2020-02-18,Collision,Low,False,False,3138,1644.0,Minor,2020-04-09,settled,6,51.0,3138.0,8.051659556841953,1644.0,7.405495663199472,CUST20107,70,Female,Retired,Bristol,12330,51,Sedan,20,Good,0,0,,
CLM30047,POL10210,2022-12-17,2022-12-17,Fire,Low,False,False,8069,6740.0,Minor,2023-03-13,settled,0,86.0,8069.0,8.995908761263994,6740.0,8.815963560853438,CUST20210,29,Female,Unemployed,Leeds,7630,7,SUV,11,Excellent,0,0,,
CLM30048,POL10634,2019-08-07,2019-08-09,Collision,Low,False,False,1818,2386.0,Minor,2019-11-04,settled,2,87.0,1818.0,7.506042178518122,2386.0,7.77779262633883,CUST20634,69,Female,Employed,Edinburgh,13190,48,SUV,16,Good,0,0,,
CLM30049,POL14444,2024-11-27,2024-11-29,Weather,Low,False,True,5946,3765.0,Moderate,2024-12-30,settled,2,31.0,5946.0,8.690642169706594,3765.0,8.233768709217097,CUST24444,27,Female,Self-Employed,Leeds,10245,5,Coupe,4,Excellent,0,0,,
CLM30050,POL11426,2022-01-01,2022-01-06,Collision,Low,False,True,3912,3514.0,Minor,2022-02-16,settled,5,41.0,3912.0,8.272059622210412,3514.0,8.164794804244766,CUST21426,49,Male,Self-Employed,Cardiff,7550,31,Van,10,Excellent,0,0,,
CLM30051,POL12943,2025-08-26,2025-08-26,Weather,Low,False,False,3798,3378.0,Minor,2025-10-30,settled,0,65.0,3798.0,8.242493153187626,3378.0,8.12533508671429,CUST22943,31,Female,Self-Employed,Glasgow,11571,13,SUV,19,Good,0,0,,
CLM30052,POL12849,2022-10-09,2022-10-09,Collision,Low,False,False,4093,3294.0,Moderate,2022-12-04,settled,0,56.0,4093.0,8.317277766221235,3294.0,8.100161446936607,CUST22849,50,Female,Self-Employed,Glasgow,16626,29,Hatchback,2,Excellent,0,0,,
CLM30054,POL11286,2020-11-14,2020-11-15,Collision,Low,False,False,3203,2622.0,Minor,2021-02-01,settled,1,78.0,3203.0,8.07215530818825,2622.0,7.872073979866873,CUST21286,79,Male,Retired,Liverpool,9803,60,SUV,5,Excellent,2,1,1.0,1.0
CLM30055,POL13260,2019-06-30,2019-07-03,Collision,Low,False,True,1686,1030.0,Minor,2019-09-28,settled,3,87.0,1686.0,7.430707082545968,1030.0,6.93828448401696,CUST23260,42,Female,Employed,Edinburgh,6947,22,Motorcycle,18,Poor,0,0,,
CLM30056,POL12025,2019-03-25,2019-03-27,Weather,Medium,False,False,67535,61698.0,Severe,2019-09-12,settled,2,169.0,67535.0,11.12041606802228,61698.0,11.030023002306708,CUST22025,18,Female,Employed,London,9946,0,SUV,6,Poor,1,1,1.0,1.0
